name,shape_area,FIPS_ID,TotalPop,Female,Male,AgeU5,Age517,Age1824,Age2534,Age3544,Age4554,Age5559,Age6061,Age6264,Age6574,Age75P,BornInState,BornInOtherState,NativeBornOutOfUS,ForeignBorn,White,Black,Asian,Hispanic,TwoOrMore,MedHouseIncome,GINI,PubAssistYes,LaborUnemp,MaleHead,FemaleHead,Nonfamily,GrandHead,SexRatio,Age6064,AgeOld,NoSchool,LessThanHS,HSGrad,SomeColl,Bach,Master,Prof,Doc,AtLeastBachelor,BelowPoverty,BelowPovertyOccupied,BelowPovertyMarried,EthHet,PubAssist,UnempRate,MedHouseIncome.s,BelowPoverty.s,UnempRate.s,AtLeastBachelor.s,White.s,Black.s,n_call,p_call,p_call.s,p_call_employment,p_call_income,p_call_childcare,p_call_housing,p_call_homeless,p_call_substance,p_call_utilities,p_call_health,p_call_mental,p_call_no_childcare,p_call_no_housing,p_called_before,income,poverty100,poverty200,child_poverty100,umemployed,ageu18,ageu20,age65p,afdc_medicaid,multi_assist_medicaid,fertility,fertility_white,fertility_black,fertility_hispanic,fertility_asian,infantmortality,infantmortality_white,infantmortality_black,infantmoratlity_hispanic,infantmortality_asian,lowbirthweight,teenagemoms,moms_no_care,moms_adeq_care,moms_pub_care,child_lead_poison,hiv,hiv_aids,hiv_death,tuberculosis,pertussis,hepb,syphilis,gonorrhea,chlamydia,motor_death,suicide,homicide,chronic_death,cancer_death,lung_cancer_death,breast_cancer_death,cardiovascular_death,substance_abuse,injection_drug,alcohol_other_drug,asthma,angina,pneumonia,PopDen,PopDen.s
Petersham,176676750.123,2553120,1161,0.5279931093884582,0.4720068906115418,0.040482342807924204,0.1119724375538329,0.09732988802756244,0.03617571059431524,0.08871662360034453,0.25839793281653745,0.08785529715762273,0.012058570198105082,0.05598621877691645,0.12575366063738158,0.08527131782945736,0.726959517657192,0.2222222222222222,0.00516795865633075,0.04565030146425495,0.9569336778639104,0.00516795865633075,0.02239448751076658,0.006029285099052541,0.009474590869939707,64e3,0.3997,3,52,0,0.03877551020408163,0.37755102040816324,0,1.1186131386861313,5.8608776033610275e-5,0.27906976744186046,0.002296211251435132,0.02066590126291619,0.27784156142365096,0.3099885189437428,0.19747416762342135,0.1113662456946039,0.02640642939150402,0.05625717566016074,0.39150401836969,0.022950819672131147,0.5714285714285714,0.2857142857142857,0.9999083713363024,0.006122448979591836,0.08062015503875969,-0.6120022281466883,-0.6751408470674138,0.5891195858364361,-0.14221996499842957,0.6397022141266681,-0.431512486480374,3,2.5839793281653747,-0.006913741885825462,0,0,0,0,0,0,0,0,0.8613264427217916,2.5839793281653747,2.5839793281653747,NA,24222,0.058,0.151,0.053,0.086,0.224,0.22,0.171,0.023,0.018,59.9,56.3,0,NA,0,0,0,0,0,0,NA,0,NA,0.8,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,845.3,123.9,75.7,0,246.6,779.9,NA,NA,NA,0,NA,1.7019648541436452,-0.5257677385620848
Plainville,29708637.8506,2554100,8735,0.5190612478534631,0.4809387521465369,0.05323411562678878,0.1572982255294791,0.05941614195764167,0.12993703491700057,0.1500858614768174,0.1891242129364625,0.07624499141385231,0.02919290211791643,0.031368059530623923,0.06605609616485404,0.05804235832856325,0.7263880938752146,0.23228391528334288,0.005266170578133944,0.03606182026330853,0.9337149398969662,0.006754436176302232,0.026788780767029192,0.0022896393817973667,0.014653692043503148,91009,0.408,81,381,0,0.07325789160214413,0.3412745681953544,0.016001376462491397,1.079266841228279,6.9331381395009e-6,0.18465941614195763,0.009095185824055198,0.046259996863729023,0.25497883017092676,0.27489415085463387,0.28430296377607023,0.11745334796926454,0.014897287125607653,0.007213423239767916,0.42386702211071037,0.018083182640144666,0.45,1,0.9999127407907382,0.024121500893388922,0.06827956989247312,0.40413358858650156,-0.7930851416353271,0.07475649183772444,0.05827980598216328,0.447891152079635,-0.39219750171442175,38,4.350314825414997,0.5910023159694989,0.11448196908986835,0,0.2289639381797367,0,0.11448196908986835,0,0.9158557527189468,0,0,4.0068689181453925,4.235832856325128,0.18421052631578946,25816,0.04,0.128,0.041,0.104,0.255,0.253,0.135,0.018,0.008,64.6,63.3,NA,138.9,NA,0,0,0,0,0,NA,NA,0.129,0.87,0.105,0,NA,75.1,0,0,NA,0,0,0,112.6,0,0,0,801.8,263.7,76.6,21,203.2,913.1,325.2,300.2,81.7,0,430.4,76.15140832354855,-0.21822696163966937
Quincy,43345811.1269,2555745,93177,0.5115532803159578,0.4884467196840422,0.06002554278416347,0.10431758910460737,0.09120276463075652,0.19281582364746666,0.13022527018470223,0.1520117625594299,0.06827865245715144,0.02604720048939116,0.030050334309969198,0.07482533243182331,0.07019972740053876,0.5727701042102665,0.11862369468860341,0.01207379503525548,0.2965324060658746,0.6304774783476609,0.048005409060175794,0.2662996232975949,0.03260461272631658,0.019092694549084,64155,0.4319,1397,4401,0,0.10494984294254738,0.4549599756814267,0.009561473768522226,1.0473062049569344,6.020534552449677e-7,0.20112259463172244,0.02127843612144278,0.11295159011619525,0.256581033935934,0.22623475477899835,0.2593922094397832,0.10608943862987631,0.020514373035781217,0.01823660006343165,0.4042326211688724,0.07780256553262688,0.2162485065710872,0.4008363201911589,0.9999528215079858,0.035388590536021884,0.07871156976016311,-0.6061707996749327,0.6539332866081715,0.5095685906913852,-0.06336195890722691,-2.0571674620028952,0.630055477035225,489,5.24807624199105,0.8949003964471883,0.06439357352136257,0.075125835774923,0.6975970464814278,0.075125835774923,0.04292904901424171,0.010732262253560427,0.225377507324769,0,0.1931807205640877,4.303637163677732,4.926108374384237,0.30265848670756645,26001,0.073,0.195,0.102,0.085,0.175,0.184,0.151,0.058,0.005,58.9,52.6,85.9,37,66.4,3.3,0,NA,0,NA,0.063,0.026,0.089,0.903,0.342,0,NA,223.3,3.3,8.8,NA,34.3,13.3,23.2,239.9,5.4,13,1.1,709.3,177.9,57.6,23.7,206.9,2552.6,1343.2,448.8,136.9,12.2,300,556.7488889855489,1.7670574904931002
Rockland,26238660.9775,2557775,17663,0.478004868935062,0.521995131064938,0.05769121893223122,0.148672365962747,0.08084696823869104,0.13304648134518485,0.14850251939081696,0.13995357527033914,0.06907093925154277,0.025646832361433506,0.03844194078016192,0.09624639076034648,0.06188076770650512,0.8384759100945479,0.10468210383287098,0.006737247353224254,0.05010473871935685,0.9173413349940553,0.03436562305384136,0.009284945932174602,0.014380343090075298,0.02264620959066976,69247,0.397,235,651,0.0058309037900874635,0.09083934325609944,0.3495473377320853,0.022930943595150237,0.9157266811279826,3.628419472433643e-6,0.22221593160844705,0.007307386814932486,0.05615567911040508,0.3795869737887212,0.3185861795075457,0.17021445591739476,0.05869737887212073,0.011914217633042097,0.004845115170770453,0.24567116759332805,0.032083038452465205,0.6470588235294118,0.5735294117647058,0.9999157010874575,0.03605953659659353,0.06428994667193363,-0.41459896884797126,-0.45386446700692495,-0.09153343034017987,-1.0457038757037362,0.3126280490446178,0.29204376725724673,258,14.606805185981996,4.062891033243403,0,0.1132310479533488,0.8492328596501161,0.0566155239766744,0,0,1.0756949555568136,0,4.868935061993999,12.059106607031648,12.851723942705089,0.5232558139534884,23068,0.068,0.154,0.094,0.092,0.265,0.248,0.137,0.064,0.011,65.2,61.9,140.2,84.2,NA,NA,NA,0,0,0,0.111,0.044,0.134,0.884,0.345,0,NA,67.3,0,0,0,NA,NA,NA,151.3,17.2,11.4,0,891.4,186.7,79.5,9,238.1,1933.6,1036.9,459.6,248,NA,408.2,174.34944556767022,0.18741610644752396
Scituate,44748117.6848,2560330,18312,0.5316186107470511,0.46838138925294887,0.04811052861511577,0.2145041502839668,0.042103538663171694,0.06678680646570555,0.11167540410659677,0.1761140235910878,0.08557230231542158,0.02954346876365225,0.046417649628658804,0.08273263433813892,0.09643949322848405,0.6938073394495413,0.25677151594582787,0.01119484491044124,0.0382262996941896,0.9546745303626037,0.005406290956749673,0.00464176496286588,0.01747487986020096,0.01316076889471385,102210,0.4576,158,653,0,0.08680195526588654,0.2673677973633536,0.005235602094240838,1.1350122420426723,4.148160681100429e-6,0.25513324595893405,0.0033773169965441406,0.024976437323279924,0.16580270185359725,0.24481621112158342,0.3544612001256676,0.1552780395852969,0.03306628966383914,0.021599120326735784,0.5644046497015396,0.034775576223210675,0.4941860465116279,0.6686046511627907,0.9999088240395687,0.023403940157013775,0.07239467849223946,0.8255389454389752,-0.3886234751496425,0.24627672093751307,0.9289580153228362,0.6210392927326008,-0.425606300831823,18,0.9829619921363041,-0.5488685265839282,0,0,0,0,0,0,0.218435998252512,0,0,0.928352992573176,0.928352992573176,NA,33940,0.026,0.088,0.022,0.072,0.261,0.27,0.172,0.017,0.001,51.2,51.6,0,NA,NA,0,0,0,0,0,NA,0,0.057,0.943,0.093,0,NA,NA,0,0,NA,0,0,NA,93.8,16.6,16.6,0,686.6,171.8,56.3,19.6,243.1,1032.1,551.9,231.8,117.4,NA,371.4,105.98850783924311,-0.09497386076270886
Spencer,87957323.1007,2566105,11773,0.5002972904102607,0.4997027095897392,0.06404484838189077,0.1255414932472607,0.08740338061666525,0.12774993629491208,0.1290240380531725,0.1496644865369914,0.08587445850675274,0.03329652594920581,0.04544296271128854,0.09334918882188058,0.05860868087997961,0.8246835980633653,0.10778900874883207,0.02267901129703559,0.04484838189076701,0.9215153316911577,0.006200628556867409,0.007644610549562558,0.06107194427928311,0.0027180837509555764,62901,0.4144,119,419,0,0.11941580756013746,0.3436426116838488,0.013220382492619689,1.0011898691143974,6.6881413964575174e-6,0.23069735836235455,0.015037593984962405,0.11477913533834587,0.36313439849624063,0.27784304511278196,0.15648496240601503,0.06602443609022557,0.006931390977443609,0.014802631578947368,0.24424342105263158,0.06511780104712042,0.40703517587939697,0.32663316582914576,0.9999146982823215,0.025558419243986254,0.06391092129347163,-0.6533489371173934,0.34657766638177534,-0.10733143862412362,-1.0545492491653206,0.3471096276985409,-0.40592157775537296,50,4.247005860868088,0.5560315593271814,0.08494011721736176,0.16988023443472353,0.33976046886944705,0,0.08494011721736176,0,0.2548203516520853,0,0.08494011721736176,3.822305274781279,4.162065743650726,0.28,21017,0.086,0.214,0.112,0.104,0.246,0.235,0.142,0.058,0.009,58.2,59.5,0,NA,NA,0,0,0,0,0,0.113,0.081,0.167,0.783,0.344,0,NA,74.5,0,0,NA,0,0,NA,223.4,0,25.7,8.6,582.4,125.4,52,0,132.3,1373.3,339.2,206.8,146.4,0,312.3,34.66673258341613,-0.3895946551099076
Tyringham,48837387.3052,2571095,393,0.5089058524173028,0.4910941475826972,0.015267175572519083,0.07124681933842239,0.030534351145038167,0.04071246819338423,0.08142493638676845,0.1297709923664122,0.089058524173028,0.05343511450381679,0.10178117048346055,0.2366412213740458,0.15012722646310434,0.5699745547073791,0.39185750636132316,0.007633587786259542,0.030534351145038167,0.9847328244274809,0,0.007633587786259542,0,0.007633587786259542,77500,0.4638,1,19,0,0.012195121951219513,0.23780487804878048,0.008982035928143712,1.0362694300518134,3.949523791024869e-4,0.5419847328244275,0,0.025936599423631124,0.2564841498559078,0.2334293948126801,0.1585014409221902,0.23054755043227665,0.05763688760806916,0.037463976945244955,0.484149855907781,0,NA,NA,0.9999030242992832,0.006097560975609756,0.0979381443298969,-0.10410361931637012,-1.231246041065456,1.3109439116712884,0.43175238186218956,0.8693522422182406,-0.5595812509519733,NA,0,-0.8816075562161318,0,0,0,0,0,0,0,0,0,0,0,NA,35503,0.035,0.088,0,0.054,0.186,0.135,0.278,0.058,0.006,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,476.4,0,0,0,254.9,NA,0,NA,0,0,0,2.084192833238314,-0.5241888054744175
Otis,98613511.3673,2551580,1542,0.4987029831387808,0.5012970168612192,0.03826199740596628,0.12840466926070038,0.038910505836575876,0.06874189364461739,0.10440985732814527,0.1932555123216602,0.10376134889753567,0.017509727626459144,0.058365758754863814,0.14850843060959792,0.09987029831387809,0.6653696498054474,0.26653696498054474,0.00324254215304799,0.0648508430609598,0.9442282749675746,0.007133592736705577,0.023346303501945526,0.018158236057068743,0.007133592736705577,61406,0.4164,8,70,0,0.09253731343283582,0.2701492537313433,0.006808510638297872,0.9948253557567918,4.920589259489168e-5,0.324254215304799,0.0024489795918367346,0.0636734693877551,0.32653061224489793,0.3395918367346939,0.14204081632653062,0.07918367346938776,0.036734693877551024,0.012244897959183673,0.2702040816326531,0.06952965235173825,0.8823529411764706,0.17647058823529413,0.9999107507305183,0.011940298507462687,0.08641975308641975,-0.7095940052804546,0.4534781370705937,0.8308503595705298,-0.8937141628287052,0.5347422965484104,-0.38280150699749926,7,4.539559014267185,0.6550627051462546,0,0,0,0.648508430609598,0.648508430609598,0,0.648508430609598,0,0,4.539559014267185,3.8910505836575875,NA,25029,0.074,0.226,0.114,0.076,0.218,0.181,0.181,0.04,0.003,41.3,42.4,0,0,0,0,0,0,0,0,NA,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,184.7,73.9,36.9,0,55.4,1366.1,NA,719,0,0,NA,4.049913248226132,-0.5160686751488491
Sheffield,125852977.213,2561065,3220,0.5080745341614907,0.4919254658385093,0.029192546583850933,0.14130434782608695,0.055279503105590065,0.06645962732919254,0.11925465838509317,0.18074534161490682,0.08198757763975155,0.03571428571428571,0.05962732919254658,0.13633540372670808,0.09409937888198758,0.5335403726708075,0.43136645962732917,0,0.035093167701863354,0.9788819875776398,0.0037267080745341614,0.009316770186335404,0.0037267080745341614,0,55781,0.4699,8,91,0,0.11751982696467195,0.3460706560922855,0,1.0328282828282829,2.9609197176034876e-5,0.32577639751552795,0.0020056157240272766,0.09707180104292018,0.33373445647813876,0.23987164059366226,0.19093461692739672,0.12515042117930206,0.005214600882470918,0.008022462896109106,0.3293221018852788,0.0782800441014333,0.704225352112676,0.6056338028169014,0.9999041675475483,0.005767844268204758,0.04853333333333333,-0.9212184256264204,0.6655027344940974,-0.7482786569004132,-0.527458001431253,0.8210182099538831,-0.4672285580628262,4,1.2422360248447204,-0.4611025796374629,0,0,0,0,0,0,0,0,0,1.2422360248447204,1.2422360248447204,NA,25492,0.053,0.193,0.047,0.06,0.238,0.21,0.194,0.055,0.015,57.6,56.8,NA,NA,0,0,0,0,0,0,NA,NA,0.28,0.68,0.52,0,NA,NA,0,0,0,0,0,0,NA,30.7,0,0,433.2,131.8,17.9,46.5,109.2,1785.8,446.4,684.5,NA,NA,NA,6.6265907172654055,-0.5054247622627511
Northborough,48545738.4301,2546820,14814,0.5060753341433779,0.4939246658566221,0.045902524638855136,0.18982044012420682,0.08329958147698123,0.09983799108950993,0.13385986229242608,0.17179694883218577,0.06514108275955177,0.02565141082759552,0.03496692318077494,0.08113946267044687,0.06858377210746591,0.6487106790873498,0.21992709599027946,0.0036452004860267314,0.127717024436344,0.8423113271229917,0.01491832050762792,0.0960577831780748,0.03044417442959363,0.013230727690022951,107797,0.3924,80,371,0,0.07361002349256068,0.20418950665622554,0.008998393144081414,1.0246002460024601,4.091962603508199e-6,0.21034156878628324,0.0020816812053925456,0.04103885804916733,0.17595162569389375,0.24940523394131642,0.29589611419508327,0.18120539254559873,0.03013481363996828,0.026367961934972244,0.5336042823156225,0.024846248462484625,0.1782178217821782,0.6237623762376238,0.9999280135126448,0.015661707126076743,0.04508445740673229,1.0357337252563816,-0.6292140431350505,-0.8920299030038442,0.738139305897325,-0.30719829619580113,-0.18988578656144847,46,3.1051707843931418,0.16951295699489252,0,0,0.4050222762251924,0.06750371270419873,0,0,0.13500742540839747,0,0.13500742540839747,2.6326447954637504,2.970163358984744,0.32608695652173914,32889,0.028,0.078,0.02,0.067,0.295,0.286,0.129,0.009,0.003,52,49,NA,NA,75.4,0,0,0,0,0,0.116,NA,0.083,0.851,0.092,0,NA,47.8,0,NA,40.9,0,0,0,150.1,0,14.1,0,635.3,131.6,18.4,8.2,143.7,586.9,136.5,81.9,NA,0,327.2,79.03491647633383,-0.2063155718932284
